P_Local,Local,P_Empate,Visitante,P_Visitante
38,TIJUANA,33,GUADALAJARA,29
42,C. AZUL,30,TOLUCA,28
32,ATLAS,32,ÁGUILAS,36
39,MALLORCA,34,CELTA,27
44,CRYSTAL PAL.,29,NOTTINGHAM,27
35,EVERTON,31,BRIGHTON,34
33,UN. BERLÍN,32,STUTTGART,35
36,TOULOUSE,35,BREST,29
37,LILLE,30,MÓNACO,33
31,TELSTAR,28,VOLENDAM,41
43,BRAGANTINO,30,FLUMINENSE,27
35,VASCO DA GAMA,32,CORINTHIANS,33
45,SALT LAKE,28,MINNESOTA,27
36,PANETOLIKOS,34,ATROMITOS,30
40,LEÓN,31,PACHUCA,29
51,MONTERREY,26,NECAXA,23
25,MAZATLÁN,30,TIGRES,45
48,PUMAS,29,PUEBLA,23
41,BURNLEY,32,SUNDERLAND,27
28,CAGLIARI,33,FIORENTINA,39
39,SAO PAULO,32,AT. MINEIRO,29
